test_time_second,voltage_volt,current_ampere,cycle_count,step_count,step_index,charging_capacity_ah,discharging_capacity_ah,charging_energy_wh,discharging_energy_wh,unix_time_second
0.0,3.3067002,0.0,6.283185307179586,1,1,0.0,0.0,0.0,0.0,1766393064.885
10.000999,3.306729,0.0,6.283185307179586,1,1,0.0,0.0,0.0,0.0,1766393074.885
10.000999,3.306729,0.0,6.283185307179586,1,1,0.0,0.0,0.0,0.0,1766393074.885
10.000999,3.3106904,0.16460870361328125,6.283185307179586,2,2,0.0,0.0,0.0,0.0,1766393074.9350002
20.001999,3.3207242,0.16498162841796876,6.283185307179586,2,2,0.00045832109451293934,0.0,0.0015212931632995607,0.0,1766393084.9350002
30.001999,3.323421,0.16498092651367188,6.283185307179586,2,2,0.0009165990352630614,0.0,0.0030437984466552734,0.0,1766393094.9350002
40.002,3.3258579,0.16497845458984375,6.283185307179586,2,2,0.0013748778104782102,0.0,0.0045674729347229,0.0,1766393104.9350002
50.002,3.3281322,0.16498013305664064,6.283185307179586,2,2,0.0018331611156463619,0.0,0.00609223747253418,0.0,1766393114.9350002
60.002,3.3303106,0.1649798583984375,6.283185307179586,2,2,0.0022914426326751704,0.0,0.007618011474609375,0.0,1766393124.9350002
70.002,3.3324058,0.1649857940673828,6.283185307179586,2,2,0.0027497277259826655,0.0,0.00914477252960205,0.0,1766393134.9350002
80.002,3.3344388,0.1649884490966797,6.283185307179586,2,2,0.0032080237865447993,0.0,0.010672513961791993,0.0,1766393144.9350002
90.002,3.3364327,0.1649982604980469,6.283185307179586,2,2,0.0036663424968719476,0.0,0.012201253890991212,0.0,1766393154.9350002
100.002,3.338389,0.16499516296386718,6.283185307179586,2,2,0.00412466526031494,0.0,0.013730910301208496,0.0,1766393164.9350002
110.002,3.3403084,0.16499073791503907,6.283185307179586,2,2,0.004582984447479247,0.0,0.015261442184448243,0.0,1766393174.9350002
120.002,3.342203,0.16499057006835938,6.283185307179586,2,2,0.005041298866271971,0.0,0.01679283142089844,0.0,1766393184.9350002
130.002,3.3440769,0.16499588012695313,6.283185307179586,2,2,0.005499613285064696,0.0,0.01832508659362793,0.0,1766393194.9350002
140.002,3.3459313,0.16499110412597656,6.283185307179586,2,2,0.005957922458648681,0.0,0.019858179092407228,0.0,1766393204.9350002
150.002,3.3477604,0.1649848175048828,6.283185307179586,2,2,0.006416213512420653,0.0,0.021392053604125976,0.0,1766393214.9350002
160.002,3.3495796,0.16498402404785156,6.283185307179586,2,2,0.006874495983123778,0.0,0.022926731109619142,0.0,1766393224.9350002
170.001,3.3512032,0.1649855194091797,6.283185307179586,2,2,0.007332737445831297,0.0,0.024462102890014648,0.0,1766393234.9350002
180.002,3.3531537,0.16498667907714845,6.283185307179586,2,2,0.007791078090667723,0.0,0.02599862289428711,0.0,1766393244.9350002
190.002,3.3549173,0.1649920654296875,6.283185307179586,2,2,0.008249384880065916,0.0,0.02753583908081055,0.0,1766393254.9350002
200.002,3.3566685,0.16499551391601563,6.283185307179586,2,2,0.008707705497741698,0.0,0.029073909759521486,0.0,1766393264.9350002
210.002,3.358395,0.16499508666992188,6.283185307179586,2,2,0.009166025161743162,0.0,0.03061277389526367,0.0,1766393274.9350002
220.002,3.360113,0.16499375915527345,6.283185307179586,2,2,0.00962434101104736,0.0,0.03215241622924805,0.0,1766393284.9350002
230.002,3.361821,0.16498374938964844,6.283185307179586,2,2,0.010082653999328612,0.0,0.03369282913208008,0.0,1766393294.9350002
240.002,3.3635023,0.16498817443847658,6.283185307179586,2,2,0.010540960311889646,0.0,0.0352339973449707,0.0,1766393304.9350002
250.002,3.3651896,0.16498463439941408,6.283185307179586,2,2,0.010999253273010252,0.0,0.03677589416503906,0.0,1766393314.9350002
260.002,3.366853,0.16498455810546875,6.283185307179586,2,2,0.011457533836364744,0.0,0.03831851196289063,0.0,1766393324.9350002
270.002,3.3684924,0.16498500061035157,6.283185307179586,2,2,0.011915816307067869,0.0,0.03986188888549805,0.0,1766393334.9350002
280.002,3.3701212,0.16499110412597656,6.283185307179586,2,2,0.012374110221862791,0.0,0.04140606689453125,0.0,1766393344.9350002
290.002,3.37175,0.16499234008789063,6.283185307179586,2,2,0.01283242321014404,0.0,0.042951045989990236,0.0,1766393354.9350002
300.002,3.3733613,0.16499693298339843,6.283185307179586,2,2,0.013290740013122556,0.0,0.04449678421020508,0.0,1766393364.9350002
310.002,3.374964,0.16499224853515626,6.283185307179586,2,2,0.013749053955078123,0.0,0.046043247222900395,0.0,1766393374.9350002
320.002,3.3765454,0.1649911804199219,6.283185307179586,2,2,0.014207367897033689,0.0,0.04759043884277344,0.0,1766393384.9350002
330.002,3.3781111,0.16499427795410157,6.283185307179586,2,2,0.014665677070617673,0.0,0.049138336181640624,0.0,1766393394.9350002
340.002,3.3796797,0.16498640441894533,6.283185307179586,2,2,0.015123978614807125,0.0,0.05068693161010742,0.0,1766393404.9350002
350.002,3.3812265,0.16497976684570312,6.283185307179586,2,2,0.0155822696685791,0.0,0.05223620223999024,0.0,1766393414.9350002
360.002,3.3827775,0.16497959899902345,6.283185307179586,2,2,0.016040546417236325,0.0,0.05378612518310547,0.0,1766393424.9350002
370.002,3.384301,0.16498260498046877,6.283185307179586,2,2,0.01649882888793945,0.0,0.055336776733398436,0.0,1766393434.9350002
380.002,3.385816,0.16498915100097655,6.283185307179586,2,2,0.01695712852478027,0.0,0.056888179779052736,0.0,1766393444.9350002
390.002,3.3873246,0.16499366760253906,6.283185307179586,2,2,0.017415439605712887,0.0,0.05844032669067383,0.0,1766393454.9350002
400.002,3.3888328,0.16499145507812502,6.283185307179586,2,2,0.01787375259399414,0.0,0.05999316024780273,0.0,1766393464.9350002
410.002,3.3903139,0.16499145507812502,6.283185307179586,2,2,0.018332063674926753,0.0,0.06154666519165039,0.0,1766393474.9350002
420.002,3.3917882,0.16498782348632812,6.283185307179586,2,2,0.018790370941162107,0.0,0.0631008415222168,0.0,1766393484.9350002
430.002,3.3932514,0.16498968505859377,6.283185307179586,2,2,0.01924867820739746,0.0,0.06465569305419921,0.0,1766393494.9350002
440.002,3.3947039,0.16498756408691406,6.283185307179586,2,2,0.01970697975158691,0.0,0.06621119689941406,0.0,1766393504.9350002
450.002,3.3961477,0.16497915649414063,6.283185307179586,2,2,0.0201652660369873,0.0,0.06776730346679688,0.0,1766393514.9350002
460.002,3.3975873,0.16498463439941408,6.283185307179586,2,2,0.02062354469299316,0.0,0.06932405090332032,0.0,1766393524.9350002
470.002,3.399006,0.16498286437988283,6.283185307179586,2,2,0.021081825256347653,0.0,0.07088145446777344,0.0,1766393534.9350002
480.002,3.400425,0.1649909210205078,6.283185307179586,2,2,0.02154011535644531,0.0,0.07243954467773438,0.0,1766393544.9350002
490.002,3.4018304,0.16499339294433593,6.283185307179586,2,2,0.021998424530029294,0.0,0.07399834442138672,0.0,1766393554.9350002
500.002,3.4032283,0.16498658752441406,6.283185307179586,2,2,0.022456735610961908,0.0,0.07555779266357422,0.0,1766393564.9350002
510.002,3.4046092,0.16499162292480468,6.283185307179586,2,2,0.022915042877197263,0.0,0.07711787414550782,0.0,1766393574.9350002
520.002,3.405996,0.16499057006835938,6.283185307179586,2,2,0.02337334823608398,0.0,0.07867856597900391,0.0,1766393584.9350002
530.002,3.4073706,0.164989501953125,6.283185307179586,2,2,0.0238316535949707,0.0,0.08023990631103516,0.0,1766393594.9350002
540.002,3.4087455,0.16498870849609376,6.283185307179586,2,2,0.02428995513916015,0.0,0.08180184936523438,0.0,1766393604.9350002
550.002,3.4100888,0.1649778289794922,6.283185307179586,2,2,0.02474823379516601,0.0,0.08336434936523437,0.0,1766393614.9350002
560.002,3.4114358,0.16498605346679687,6.283185307179586,2,2,0.02520651245117187,0.0,0.0849274673461914,0.0,1766393624.9350002
570.002,3.4127798,0.1649818115234375,6.283185307179586,2,2,0.025664791107177728,0.0,0.08649118041992188,0.0,1766393634.9350002
580.002,3.414104,0.16498207092285155,6.283185307179586,2,2,0.026123088836669917,0.0,0.08805558013916016,0.0,1766393644.9350002
590.002,3.4154255,0.16499366760253906,6.283185307179586,2,2,0.0265813980102539,0.0,0.08962063598632812,0.0,1766393654.9350002
600.002,3.4167352,0.1649947204589844,6.283185307179586,2,2,0.02703970909118652,0.0,0.09118629455566406,0.0,1766393664.9350002
610.002,3.4180524,0.16499171447753908,6.283185307179586,2,2,0.027498020172119136,0.0,0.09275256347656251,0.0,1766393674.9350002
620.002,3.4193392,0.1649883575439453,6.283185307179586,2,2,0.027956327438354488,0.0,0.09431938934326171,0.0,1766393684.9350002
630.002,3.4206254,0.16499012756347656,6.283185307179586,2,2,0.028414638519287105,0.0,0.09588683319091797,0.0,1766393694.9350002
640.002,3.4219174,0.16498153686523437,6.283185307179586,2,2,0.028872932434082024,0.0,0.0974548110961914,0.0,1766393704.9350002
650.002,3.4231963,0.16497817993164063,6.283185307179586,2,2,0.02933120918273925,0.0,0.09902332305908203,0.0,1766393714.9350002
