test_time_second,voltage_volt,current_ampere,ambient_temperature_celsius
0.0,0.939198041065652,0.0,25.8094
9.070799999999995,0.939198041065652,0.0,25.8094
55295.22839999962,0.938244540516347,0.0,25.8094
104113.18079999943,0.937291039967042,0.0,25.80634
108001.08119999924,0.937291039967042,0.0,25.80634
158331.46920000063,0.936337539417736,0.0,25.80634
214025.9796000003,0.935384038868431,0.0,25.80634
216000.76679999955,0.935574738978292,0.0,25.80634
255930.67079999944,0.934621238428987,0.0,25.80634
310809.8243999995,0.933667737879682,0.0,25.80329
324001.41839999944,0.933477037769821,0.0,25.80634
381533.4983999994,0.932523537220516,0.0,25.8094
432000.94800000027,0.931760736781071,0.0,25.80634
482739.7356000002,0.930807236231766,0.0,25.80329
540001.5599999996,0.930044435792322,0.0,25.80329
596199.8556000002,0.929090935243017,0.0,25.8094
648000.5520000001,0.928328134803573,0.0,25.8094
704236.4627999995,0.927374634254267,0.0,25.8094
756000.4379999996,0.926802533924684,0.0,25.80634
808932.0119999998,0.925849033375379,0.0,25.8094
864000.4356000002,0.925276933045796,0.0,25.81246
914347.6524000001,0.924323432496491,0.0,25.80634
972000.9671999996,0.923751332166907,0.0,25.80634
1028917.9175999997,0.922797831617602,0.0,25.80634
1080000.3144,0.922225731288019,0.0,25.80023
1080816.3395999998,0.922225731288019,-2.4539971519e-06,25.80023
1080824.1431999996,0.922797831617602,0.0001252725965445,25.80023
1080896.2620000006,0.923751332166907,0.0001278453354941,25.80023
1081149.6815999998,0.924704832716213,0.0001276870130972,25.80023
1082219.016,0.925658333265518,0.0001276870130972,25.80023
1083959.8860000002,0.926611833814823,0.0001276870130972,25.80023
1086225.2555999996,0.927565334364128,0.000127647432498,25.80023
1088780.6291999999,0.928518834913434,0.000127647432498,25.80023
1091355.2088000006,0.929472335462739,0.0001276870130972,25.80023
1094059.1904,0.930425836012044,0.0001276870130972,25.80329
1096798.1172000004,0.931379336561349,0.0001276870130972,25.80329
1099789.8899999997,0.932332837110655,0.0001276870130972,25.80329
1102890.474,0.93328633765996,0.000127647432498,25.80023
1105719.9348,0.934239838209265,0.000127647432498,25.80023
1108821.8411999994,0.93519333875857,0.000127647432498,25.80023
1111830.4860000007,0.936146839307875,0.0001276870130972,25.80023
1115076.6360000002,0.937100339857181,0.000127647432498,25.80329
1116817.9296000006,0.937481740076903,0.000127647432498,25.80329
1119535.6740000006,0.938435240626208,0.0001276870130972,25.80329
1122944.2608,0.939388741175513,0.0001276870130972,25.80023
1125862.3175999997,0.940342241724818,0.0001276870130972,25.80329
1128871.8539999998,0.941295742274124,0.000127647432498,25.80329
1132172.6640000006,0.942249242823429,0.000127647432498,25.80329
1135417.3932000005,0.943202743372734,0.000127647432498,25.80329
1138410.1055999997,0.944156243922039,0.0001276870130972,25.80329
1141910.7276000006,0.945109744471345,0.000127647432498,25.80329
1145282.0736000005,0.94606324502065,0.0001276870130972,25.80329
1148420.7600000005,0.947016745569955,0.0001276870130972,25.80329
1151506.9307999997,0.94797024611926,0.000127647432498,25.80329
1152816.8639999998,0.948160946229121,0.0001276870130972,25.80329
1155680.6532,0.949114446778427,0.0001276870130972,25.80329
1159015.3703999997,0.950067947327732,0.000127647432498,25.80329
1162115.4515999996,0.951021447877037,0.0001276870130972,25.80329
1165523.4072000005,0.951974948426342,0.000127647432498,25.80329
1168805.3075999997,0.952928448975647,0.0001276870130972,25.80329
1172087.3196000003,0.953881949524953,0.0001276870130972,25.80329
1175261.8536,0.954835450074258,0.000127647432498,25.80329
1178778.5627999997,0.955788950623563,0.000127647432498,25.80329
1182023.0855999999,0.956742451172868,0.000127647432498,25.80329
1185431.3507999997,0.957695951722174,0.000127647432498,25.80329
1188550.2707999996,0.958649452271479,0.000127647432498,25.80329
1188817.1831999999,0.958649452271479,0.000127647432498,25.80329
1191826.8527999995,0.959602952820784,0.000127647432498,25.80329
1195056.1295999999,0.960556453370089,0.0001276870130972,25.80329
1198572.5459999996,0.961509953919395,0.0001276870130972,25.80329
1201711.8252000005,0.9624634544687,0.0001276870130972,25.80329
1205211.5616000006,0.963416955018005,0.000127647432498,25.80329
1208577.6372,0.96437045556731,0.0001276870130972,25.80329
1211531.7432000001,0.965323956116615,0.000127647432498,25.80023
1214630.7684,0.966277456665921,0.0001276870130972,25.80329
1218348.4656000005,0.967230957215226,0.0001276870130972,25.80023
1221593.6616000002,0.968184457764531,0.0001276870130972,25.80329
1224783.7152000002,0.969137958313836,0.0001276870130972,25.80329
1224817.9727999996,0.969137958313836,0.0001276870130972,25.80329
1228099.776,0.970091458863142,0.0001276870130972,25.80329
1231599.4703999998,0.971044959412447,0.0001276870130972,25.80329
1234747.7364,0.971998459961752,0.0001276870130972,25.80329
1238227.9307999997,0.972951960511057,0.0001276870130972,25.80329
1241417.1539999994,0.973905461060363,0.000127647432498,25.80023
1244528.8980000005,0.974858961609668,0.000127647432498,25.80023
1247899.1183999998,0.975812462158973,0.000127647432498,25.80023
1251413.5860000004,0.976765962708278,0.000127647432498,25.80023
1254600.9492000001,0.977719463257584,0.0001276870130972,25.80023
1258170.4800000007,0.978672963806889,0.0001276870130972,25.80023
1260816.4056000002,0.979245064136472,0.000127647432498,25.80023
1263640.8132000004,0.980198564685777,0.0001276870130972,25.80023
1266519.8975999996,0.981152065235082,0.0001276870130972,25.80023
1270088.7696000005,0.982105565784388,0.0001276870130972,25.80023
1273151.9412,0.983059066333693,0.000127647432498,25.80023
1276574.3400000003,0.984012566882998,0.000127647432498,25.80023
1279652.0376000006,0.984966067432303,0.0001276870130972,25.80023
1283114.7239999995,0.985919567981608,0.0001276870130972,25.80023
1286414.1708000002,0.986873068530914,0.000127647432498,25.80023
1289769.3012,0.987826569080219,0.0001276870130972,25.80023
1293194.1719999998,0.988780069629524,0.000127647432498,25.80023
1296078.500400005,0.989733570178829,0.0001276870130972,25.80023
1296818.1336000054,0.98992427028869,0.0001276870130972,25.80023
1300082.2920000043,0.990877770837996,0.0001276870130972,25.80023
1303327.6464000025,0.991831271387301,0.0001276870130972,25.80023
1306463.1336000059,0.992784771936606,0.000127647432498,25.80023
1309326.7199999962,0.993738272485911,0.0001276870130972,25.80023
1313315.2991999995,0.994691773035217,0.000127647432498,25.80023
1316378.6232000047,0.995645273584522,0.0001276870130972,25.80023
1319515.8047999986,0.996598774133827,0.0001276870130972,25.80023
1322888.8799999966,0.997552274683132,0.0001276870130972,25.80023
1326080.9412000028,0.998505775232438,0.0001276870130972,25.80023
1329218.1132000063,0.999459275781743,0.0001276870130972,25.80023
1332817.598399999,1.00022207622119,0.000127647432498,25.80023
1335446.6112000002,1.00117557677049,0.000127647432498,25.80023
1338419.1588000034,1.0021290773198,0.000127647432498,25.80023
1341719.7923999967,1.0030825778691,0.0001276870130972,25.80023
1345038.2052000049,1.00403607841841,0.000127647432498,25.80023
1348209.9863999956,1.00498957896771,0.000127647432498,25.80329
1351290.2292000013,1.00594307951702,0.0001276870130972,25.80329
1354808.2175999985,1.00689658006632,0.0001276870130972,25.80329
1358071.4196000015,1.00785008061563,0.0001276870130972,25.80329
1361190.0636,1.00880358116493,0.0001276870130972,25.80329
1364401.4507999972,1.00975708171424,0.0001276870130972,25.80023
1367721.1908,1.01071058226354,0.0001276870130972,25.80329
1368817.4111999946,1.01090128237341,0.0001276870130972,25.80023
1371519.0168000048,1.01185478292271,0.000127647432498,25.80023
1374836.0460000033,1.01280828347202,0.0001276870130972,25.80023
1378081.5096000023,1.01376178402132,0.000127647432498,25.80023
1381090.9799999997,1.01471528457063,0.000127647432498,25.80023
1384428.267599996,1.01566878511993,0.0001276870130972,25.80023
1387656.102000005,1.01662228566924,0.000127647432498,25.80023
1390777.3884000052,1.01757578621854,0.000127647432498,25.80023
1393931.9099999995,1.01852928676785,0.000127647432498,25.80023
1397251.1616000049,1.01948278731715,0.0001276870130972,25.80023
1400369.062800001,1.02043628786646,0.000127647432498,25.79718
1403616.9720000038,1.02138978841576,0.0001276870130972,25.80023
1404817.9847999942,1.02158048852562,0.0001276870130972,25.80023
1407790.5083999957,1.02253398907493,0.000127647432498,25.80023
1410782.5979999942,1.02348748962423,0.000127647432498,25.80023
1413882.4247999985,1.02444099017354,0.000127647432498,25.80023
1417201.519199999,1.02539449072284,0.000127647432498,25.80023
1420282.2948000035,1.02634799127215,0.000127647432498,25.80023
1423202.524800005,1.02730149182146,0.000127647432498,25.80023
1426846.9511999951,1.02825499237076,0.000127647432498,25.80023
1430181.4080000038,1.02920849292007,0.000127647432498,25.80023
1433265.1919999998,1.03016199346937,0.000127647432498,25.80023
1436546.8536000047,1.03111549401868,0.000127647432498,25.80023
1439795.6016000048,1.03206899456798,0.000127647432498,25.80023
1440817.0824000053,1.0324503947877,0.000127647432498,25.80023
1443969.605999995,1.03340389533701,0.000127647432498,25.80023
1447269.9731999957,1.03435739588631,0.000127647432498,25.80329
1450424.7360000014,1.03531089643562,0.000127647432498,25.80329
1453469.994,1.03626439698492,0.000127647432498,25.80329
1456750.7579999953,1.03721789753423,0.000127647432498,25.80329
1460103.711600001,1.03817139808354,0.000127647432498,25.80634
1463059.0235999967,1.03912489863284,0.000127647432498,25.80634
1466448.6780000043,1.04007839918215,0.000127647432498,25.80634
1469405.8919999967,1.04103189973145,0.000127647432498,25.80634
1472542.262399998,1.04198540028076,0.000127647432498,25.80634
1475769.1835999936,1.04293890083006,0.000127647432498,25.80634
1476816.5375999957,1.04312960093992,0.000127647432498,25.80634
1479680.8236000056,1.04408310148923,0.000127647432498,25.80634
1482635.7551999995,1.04503660203853,0.000127647432498,25.80634
1485900.0923999948,1.04599010258784,0.000127647432498,25.80634
1489073.6892000039,1.04694360313714,0.000127647432498,25.80634
1492119.8831999996,1.04789710368645,0.000127647432498,25.80634
1495329.311999998,1.04885060423575,0.000127647432498,25.80329
1498591.906799999,1.04980410478506,0.000127647432498,25.80329
1501548.1692000034,1.05075760533436,0.000127647432498,25.80023
1504575.660000001,1.05171110588367,0.0001276870130972,25.80329
1508220.5508,1.05266460643297,0.000127647432498,25.80023
1511230.6140000005,1.05361810698228,0.0001276870130972,25.80023
1512817.5791999938,1.053999507202,0.000127647432498,25.80023
1515574.0367999987,1.05495300775131,0.000127647432498,25.80023
1518745.7448000044,1.05590650830061,0.000127647432498,25.80023
1521863.0267999975,1.05686000884992,0.000127647432498,25.80023
1524855.0084000004,1.05781350939922,0.000127647432498,25.80023
1528301.3891999947,1.05876700994853,0.000127647432498,25.80023
1531273.9464000012,1.05972051049783,0.000127647432498,25.80023
1534428.2304,1.06067401104714,0.000127647432498,25.80023
1537601.9460000007,1.06162751159644,0.000127647432498,25.80023
1540774.6788000055,1.06258101214575,0.000127647432498,25.80023
1543549.5564000062,1.06353451269505,0.0001276870130972,25.80023
1546868.6891999943,1.06448801324436,0.000127647432498,25.80023
1548816.7116000024,1.06506011357394,0.000127647432498,25.80023
1551863.0735999986,1.06601361412325,0.000127647432498,25.80329
1554909.8208000048,1.06696711467255,0.000127647432498,25.80023
1558390.6067999962,1.06792061522186,0.000127647432498,25.80023
1561328.6016000009,1.06887411577116,0.000127647432498,25.80023
1564264.3907999953,1.06982761632047,0.000127647432498,25.80329
1567562.0268000052,1.07078111686977,0.000127647432498,25.80023
1570789.1748000009,1.07173461741908,0.000127647432498,25.80329
